"country","year","pop","continent","lifeExp","gdpPercap","gdp"
"Afghanistan",1952,8425333,"Asia",28.801,779.4453145,6567086329.95223
"Afghanistan",1957,9240934,"Asia",30.332,820.8530296,7585448670.23365
"Afghanistan",1962,10267083,"Asia",31.997,853.10071,8758855796.92893
"Afghanistan",1967,11537966,"Asia",34.02,836.1971382,9648014149.8489
"Afghanistan",1972,13079460,"Asia",36.088,739.9811058,9678553274.06687
"Afghanistan",1977,14880372,"Asia",38.438,786.11336,11697659230.9699
"Afghanistan",1982,12881816,"Asia",39.854,978.0114388,12598563400.5169
"Afghanistan",1987,13867957,"Asia",40.822,852.3959448,11820990309.4608
"Afghanistan",1992,16317921,"Asia",41.674,649.3413952,10595901588.9034
"Afghanistan",1997,22227415,"Asia",41.763,635.341351,14121995875.3377
"Afghanistan",2002,25268405,"Asia",42.129,726.7340548,18363410423.9786
"Afghanistan",2007,31889923,"Asia",43.828,974.5803384,31079291948.8899
